user_id,product_id,purchase_timestamp,quantity,price,order_id
U01001,P00042,2024-05-08 03:46:14.605119,3,536.98,O00136
U01001,P00360,2024-05-14 21:30:09.605119,3,600.42,O09265
U01002,P00363,2024-05-16 07:19:42.605119,3,496.44,O02370
U01002,P00222,2024-05-10 00:47:50.605119,5,178.02,O05629
U01002,P00109,2024-05-18 05:32:19.605119,2,95.72,O05808
U01003,P00261,2024-05-17 17:26:16.605119,2,193.67,O00552
U01003,P00426,2024-05-13 05:13:50.605119,1,172.4,O05712
U01003,P00047,2024-05-13 11:00:53.605119,3,682.57,O07414
U01004,P00384,2024-05-16 05:59:25.605119,2,470.38,O01512
U01004,P00050,2024-05-09 08:25:30.605119,4,754.79,O07315
U01004,P00294,2024-05-15 22:31:27.605119,3,976.32,O00135
U01005,P00328,2024-05-20 07:27:37.605119,1,240.45,O07943
U01005,P00351,2024-05-18 16:55:55.605119,2,501.4,O06206
U01005,P00298,2024-05-20 06:30:40.605119,1,384.37,O05648
U01006,P00337,2024-05-09 13:53:43.605119,1,188.96,O06629
U01006,P00247,2024-05-09 12:27:13.605119,4,566.0,O03823
U01006,P00224,2024-05-10 21:21:45.605119,4,365.64,O04831
U01007,P00066,2024-05-19 05:16:46.605119,2,813.12,O01149
U01007,P00296,2024-05-09 16:51:57.605119,5,647.12,O00977
U01007,P00330,2024-05-19 04:19:08.605119,5,43.83,O00924
U01008,P00426,2024-05-17 05:44:05.605119,4,47.54,O07791
U01008,P00053,2024-05-10 09:05:25.605119,4,906.27,O00137
U01009,P00475,2024-05-13 17:00:05.605119,5,438.75,O03515
U01009,P00254,2024-05-10 06:21:52.605119,4,157.3,O01944
U01009,P00327,2024-05-11 01:14:18.605119,1,872.1,O03827
U01010,P00434,2024-05-10 04:55:55.605119,2,570.07,O08194
U01010,P00150,2024-05-19 19:31:09.605119,5,928.62,O00742
U01011,P00117,2024-05-18 20:59:38.605119,2,84.52,O04262
U01011,P00030,2024-05-10 10:12:40.605119,5,261.43,O08930
U01011,P00035,2024-05-12 03:17:23.605119,4,815.93,O02900
U01012,P00255,2024-05-10 10:00:35.605119,2,108.73,O01530
U01012,P00355,2024-05-10 00:59:53.605119,2,332.39,O08337
U01012,P00299,2024-05-19 20:54:54.605119,1,90.82,O09908
U01013,P00403,2024-05-08 16:55:38.605119,3,397.83,O09324
U01013,P00316,2024-05-19 13:43:04.605119,3,529.89,O00271
U01013,P00462,2024-05-17 02:37:39.605119,4,505.86,O07495
U01014,P00429,2024-05-18 03:28:36.605119,5,388.54,O02696
U01014,P00418,2024-05-16 04:48:10.605119,4,115.86,O04937
U01014,P00306,2024-05-09 18:19:15.605119,1,960.87,O09131
U01015,P00348,2024-05-10 14:19:48.605119,3,532.49,O01153
U01015,P00144,2024-05-13 22:06:02.605119,1,478.3,O04158
U01015,P00262,2024-05-10 02:49:27.605119,4,118.92,O05747
U01016,P00174,2024-05-10 03:43:56.605119,4,920.34,O03875
U01016,P00078,2024-05-17 19:54:57.605119,3,194.88,O03276
U01016,P00473,2024-05-19 08:14:23.605119,1,202.29,O06912
U01017,P00122,2024-05-15 01:34:16.605119,2,159.67,O07996
U01017,P00363,2024-05-12 09:12:37.605119,3,822.42,O07689
U01017,P00352,2024-05-10 11:40:46.605119,1,848.88,O00632
U01018,P00358,2024-05-09 01:32:48.605119,3,189.68,O04480
U01018,P00228,2024-05-10 23:39:42.605119,4,168.34,O04091
U01018,P00301,2024-05-11 18:30:01.605119,1,19.15,O05853
U01019,P00126,2024-05-10 01:54:16.605119,4,511.19,O07776
U01019,P00424,2024-05-17 10:04:57.605119,4,535.55,O00399
U01020,P00415,2024-05-10 21:57:59.605119,3,152.43,O09253
U01020,P00356,2024-05-20 04:05:58.605119,1,738.2,O08766
U01020,P00053,2024-05-19 11:55:43.605119,1,731.19,O01228
U01021,P00177,2024-05-18 22:00:02.605119,4,875.36,O02338
U01021,P00290,2024-05-12 00:47:05.605119,5,523.0,O06265
U01022,P00096,2024-05-10 03:29:40.605119,2,748.96,O04681
U01022,P00368,2024-05-11 03:23:12.605119,5,562.47,O04978
U01022,P00443,2024-05-13 07:58:14.605119,1,811.78,O09300
U01023,P00436,2024-05-18 03:34:47.605119,1,546.75,O08144
